Number,Title,121940,149500,125020,138660,141900,127900,129460,119260,125980,120940,129540,125620,147580,130020,129700,129180,112100,124140,110380,130300,138220,110500,124500,125260,127340,119060,141660,116220,131460,141780,132420,149740,122220,113740,110180,133540,120020,144940,145500,146660,147020,136980,116940,119180,122500,127860,115260,123460,136140,111100,116020,115180,148300,110780,126300,119340,111500,119140,149420,121060,130340,127620,111020,122140,117420,121820,137700,140580,144600,140660,130620,116180,142340,141540,134060,148620,148700,131020,113980,134620,147220,132900,148540,125500,117300,139380,141140,137380,136220,145460,127780,132580,122520,133260,149700,114540,133740,148660,122900,128020,111300,146220,127740,113900,112620,149020,130980,133140,129340,119500,138540,128100,131900,122180,124220,120100,139660,124300,133660,129420,130140,111260,123420,131860,111540,114060,147380,134100,117980,145820,126580,131420,140980,120220,131740,134580,147300,137620,144220,143300,119460,116620,126380,128660,141100,134820,148140,124780,129100,125060,146340,133860,137860,124020,124580,117020,115500,129740,141980,125180,148900,129940,139820,142680,122540,116700,112980,144100,126820,127180,120260,113020,136100,122380,139540,141060,113380,127500,134940,112220,117660,118020,134740,118580,139460,113140,143620,128700,143340,132780,127100,111340,114020,112700,147940,121300,138340,117860,118880,131180,143580,129020,112020,136500,139140,131340,149660,121140,123580,146540,120740,143100,126980,144180,115940,133780,135660,134900,113460,125860,116580,127260,124860,127140,117780,137460,142140,121340,133700,143900,135840,116980,121780,149180,130700,130860,122020,144300,124540,130780,116860,140220,136540,145220,111180,112260,128420,116820,132820,115980,138940,142540,136780,125420,141420,116740,128740,129140,141500,139340,116300,112060,135980,146700,126620,121660,133340,121500,111700,118700,127060,144140,119660,122660,139100,144700,140340,126180,112540,149620,126100,117900,119780,118140,120500,135300,122420,144060,123540,143780,129620,112940,139740,115540,136260,113780,134980,136740,142020,142060,114260,137900,124660,140420,113820,130460,138860,141180,145780,123060,140140,119380,136420,145060,142660,135380,117820,124340,138300,139900,142220,146140,129820,115380,145300,110900,110420,147260,137100,133460,145940,131100,131140,142100,133100,141700,140060,119100,128940,140900,141620,146060,131540,110740,141940,117460,131700,139300,128140,111460,137340,137980,119820,114500,135620,141740,149340,114740,141860,110580,119740,125540,126900,112420,139580,114460,140380,114860,138060,126420,112580,117140,138900,147900
23,Chemistry: physical processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,Y
24,"Buckles, buttons, clasps, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,,Y,,Y,,,Y,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,Y,,Y,,,,,Y,,Y,Y,,Y,Y,Y,,Y,,Y,,,,,Y,,Y,,,,,,Y,Y,Y,,Y,,Y,,,Y,,,Y,Y,Y,,Y,,Y,Y,,,,Y,,,,Y,,,Y,Y,,Y,,,Y,,Y,,,,,,Y,Y,Y,,,Y,,Y,,Y,Y,Y,,Y,,Y,,Y,,,Y,Y,Y,,Y,,Y,,,Y,Y,,Y,Y,Y,,,,Y,,,,,,Y,Y,Y,,,,Y,Y,Y,Y,,Y,,Y,Y,,Y,Y,,,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,,Y,Y,,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
26,Textiles: cloth finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,
27,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,Y,,Y,Y,,,,,,Y,,,,,,,,,,,,,,Y,,Y,,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,,,,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,Y,Y
28,Textiles: manufacturing,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y,,,,,,,Y,,,Y,,,,,,,,,,,,,Y,Y,,,,Y,Y,,Y,,Y,Y,Y,,
29,Metal working,,,,,,Y,,,,,,,Y,,Y,Y,,,Y,,,,,Y,,Y,,Y,,Y,,,Y,Y,,,Y,Y,Y,,,,,,Y,,,,Y,Y,Y,,,,,Y,Y,,Y,,,Y,,,,,,,,Y,Y,Y,Y,,,Y,Y,,Y,Y,,,Y,Y,,,,Y,Y,,Y,,Y,Y,,Y,,,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,Y,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
30,Cutlery,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,Y,,,Y,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,Y,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,,,Y,,Y,Y,,Y,,Y,,,,,Y,Y,,,Y,,Y,Y,Y,,Y,,Y,,,Y,Y,Y,,,,,,Y,Y,Y,,,Y,Y,,,,,Y,,Y,,Y,Y,,Y,Y,Y,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,,,Y,Y,,Y,,,Y,Y,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,Y,Y,Y,,,Y,,Y,Y,,Y,,,Y,Y,Y,,Y,,,Y,Y,,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
33,Geometrical instruments,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,,,Y,,Y,,Y,,,,,,,Y,,,Y,,,,Y,,Y,Y,,Y,Y,,,Y,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,,,,,Y,,,,,,,Y,,,,,,Y,,Y,Y,,,Y,,Y,,,Y,,Y,,,Y,,Y,Y,,,Y,Y,Y,,Y,Y,Y,,,Y,Y,,Y,Y,,Y,,,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,,,,,Y,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,,,Y,Y,,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
34,Drying and gas or vapor contact with solids,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,Y,,,,,,Y,Y,,,,,Y,Y,,,Y,,,Y,,,,Y,,,,,,,,,,,,Y,Y,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y,,,,,,,,Y,,Y,,,,,,,,Y,,,Y,,,,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,,Y,,Y,Y,,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,Y,,Y,,,Y,,Y,,,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,,Y,,,Y,Y,Y,Y,,Y,Y,,Y,,Y,Y,Y,Y,,,Y,,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
36,"Boots, shoes, and leggings",,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,,Y,,,Y,Y,,Y,Y,,,,,,Y,,Y,Y,,,,,,Y,,,,,,,Y,,,Y,,Y,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,,,,,,Y,,,Y,,Y,,,,,Y,Y,Y,,,,Y,,,,Y,,,,,Y,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,Y,,,Y,Y,,,,,,Y,Y,Y,,,Y,,Y,Y,,,Y,Y,,,,,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,,,,,,Y,,Y,Y,,,,Y,,Y,,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
37,Excavating,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,Y,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,Y,,,Y,,Y,,,,Y,Y,Y,,Y,,Y,,Y,,Y,Y,,,,,,,,Y,,,Y,,,Y,,Y,,,,Y,,Y,,Y,,,,,,Y,,,,,Y,Y,,,Y,Y,Y,Y,,,,,,,,,,,Y,Y,Y,,,,Y,,,,,,Y,Y,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,,,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,Y,,,,Y,,Y,,,,,,,,Y,,,Y,Y,,Y,,,Y,Y,,,,,Y,Y,Y,,,,,Y,,,Y,,Y,Y,,Y,,,,Y,,,Y,,,,Y,,,Y,,,,,,,Y,,,,,Y,,,,,Y,Y,Y,,Y,,Y,Y,Y,,Y,,,Y,Y,Y,Y,,Y,,,Y,Y,,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y
38,Textiles: ironing or smoothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,Y,,,Y,,,Y,,,,,,,Y,,,,Y,Y,,,,,,,,,,Y,,Y,Y,Y,,,,Y,,,Y,,Y,,Y,Y,,,Y,,,,,,,Y,,,Y,,Y,,,,,Y,,,Y,,Y
40,"Card, picture, or sign exhibiting",,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,Y,,Y,,,,Y,,Y,,,Y,,,,,Y,Y,,Y,Y,,Y,,Y,Y,,,,Y,,Y,Y,,,,,Y,Y,,Y,Y,,Y,,Y,,,Y,,,,Y,,,Y,,Y,,,,Y,,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,,,Y,,Y,Y,Y,Y,,Y,,Y,,,Y,,Y,Y,Y,Y,Y,,Y,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,Y,Y,,Y,,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
42,Firearms,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,Y,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,Y,,,,Y,,,Y,Y,,,Y,,,,,,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,,,,Y,Y,,,,,Y,,,Y,Y,Y,,,Y,,,Y,,Y,,,,,Y,,,,,,,,Y,,,Y,Y,,,,Y,,,,Y,Y,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y,,,,,Y,Y,,,,,Y,Y,,,Y,,,,,Y,,,Y,Y,Y,Y,,Y,,,Y,,,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
43,"Fishing, trapping, and vermin destroying",,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,Y,,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,,Y,Y,,Y,Y,,Y,Y,,,,,,,Y,Y,Y,,,,,Y,,,Y,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,Y,,,Y,Y,Y,,,,Y,Y,,Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,,,,Y,Y,,,Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
44,Fuel and related compositions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,Y,,,,Y,,Y,,Y,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,Y,,,,,,Y,,Y,,,,,,,Y,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,Y,Y,Y,,,,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,Y,,Y,Y,,,Y,,Y,Y,,,,Y,,,,,Y,,,,,Y,,Y,,,,,,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
47,Plant husbandry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,Y,,,Y,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,Y,Y,,,,,,,Y,Y,,,,,,Y,Y,,,,,,,Y,,,Y,,,,,Y,,,Y,,,,Y,,Y,,Y,,,,Y,,Y,,,,,,,,Y,,Y,,,,,,,,Y,Y,,Y,,,Y,,Y,,,Y,,,,,,Y,,Y,,,Y,,Y,,,,,,Y,Y,,Y,,,,Y,,Y,,Y,,,Y,Y,,,,,,,,Y,,,,Y,,,,,,,Y,,Y,,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,,,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
48,Gas: heating and illuminating,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,Y,,,Y,,,Y,,,,,,Y,,Y,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,Y,,Y,,Y,,Y,Y,,,,Y,,,,,,,,Y,,Y,,Y,Y,,,,,,,Y,,Y,,Y,,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
49,Movable or removable closures,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,Y,Y,,Y,,,,Y,,,Y,Y,,,,,Y,Y,Y,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,Y,,,Y,,,,Y,Y,,,,Y,Y,,,,Y,,Y,Y,Y,,,,Y,Y,Y,Y,Y,,,Y,,,Y,,,,Y,,,,Y,Y,,,Y,Y,,,,,,,,Y,Y,,,,,Y,,Y,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,,Y,Y,,,,Y,,Y,Y,,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
